name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_datefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datefield']"
test_timefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'timefield']"
test_datetimefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'datetimefield']"
test_regexfield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'regexfield']"
test_emailfield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'emailfield']"
test_filefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filefield']"
test_urlfield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'urlfield']"
test_booleanfield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'booleanfield']"
test_choicefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'choicefield']"
test_multiplechoicefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'multiplechoicefield']"
test_splitdatetimefield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'splitdatetimefield']"
test_generic_ipaddressfield,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'generic', 'ipaddressfield']"
test_subclassing_errorlist,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'subclassing', 'errorlist']"
TestForm,28,,7,,,,,,,21,CapitalizedWords,"['test', 'form']"
birthday,28,,,,,,10,,,18,lowercase,['birthday']
CustomErrorList,5,,2,,,,,,,3,CapitalizedWords,"['custom', 'error', 'list']"
as_divs,4,2,,,,,,,,2,lower_case_with_underscores,"['as', 'divs']"
form1,5,,,,,,,,,5,lowercase,['form1']
form2,6,,,,,,,,,6,lowercase,['form2']
ModelChoiceFieldErrorMessagesTestCase,1,,1,,,,,,,,CapitalizedWords,"['model', 'choice', 'field', 'error', 'messages', 'test', 'case']"
test_modelchoicefield,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'modelchoicefield']"
forms_tests,2,,,2,,,,,,,lower_case_with_underscores,"['forms', 'tests']"
fix_os_paths,10,1,,,,,,,,9,lower_case_with_underscores,"['fix', 'os', 'paths']"
FieldsTests,1,,1,,,,,,,,CapitalizedWords,"['fields', 'tests']"
assertWidgetRendersTo,20,1,,,,,,,,19,mixedCase,"['assert', 'widget', 'renders', 'to']"
_Form,2,,1,,,,,,,1,CapitalizedWords,['form']
test_field_sets_widget_is_required,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'field', 'sets', 'widget', 'is', 'required']"
test_cooperative_multiple_inheritance,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'cooperative', 'multiple', 'inheritance']"
class_a_var,2,,,,,,,,,2,lower_case_with_underscores,"['class', 'a', 'var']"
test_charfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', '1']"
test_charfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', '2']"
test_charfield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', '3']"
test_charfield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', '4']"
test_charfield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', '5']"
test_charfield_length_not_int,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', 'length', 'not', 'int']"
test_charfield_widget_attrs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', 'widget', 'attrs']"
test_charfield_strip,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', 'strip']"
test_charfield_disabled,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'charfield', 'disabled']"
test_integerfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', '1']"
test_integerfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', '2']"
test_integerfield_3,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', '3']"
test_integerfield_4,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', '4']"
test_integerfield_5,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', '5']"
test_integerfield_localized,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', 'localized']"
test_integerfield_float,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', 'float']"
test_integerfield_big_num,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', 'big', 'num']"
test_integerfield_subclass,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'integerfield', 'subclass']"
MyIntegerField,3,,1,,,,,,,2,CapitalizedWords,"['my', 'integer', 'field']"
test_floatfield_1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', '1']"
test_floatfield_2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'floatfield', '2']"
