name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
TemporaryFile,2,,,,,,,,,2,CapitalizedWords,"['temporary', 'file']"
add_locals,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'locals']"
acmd,3,,,,,,,,,3,lowercase,['acmd']
inventory,255,,,24,,,2,1,,228,lowercase,['inventory']
_get_variables,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'variables']"
test_large_range,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'large', 'range']"
dumps,39,,,,,,,,,39,lowercase,['dumps']
template_from_file,6,1,,,,,,,,5,lower_case_with_underscores,"['template', 'from', 'file']"
timeout,19,,,,,,5,,,14,lowercase,['timeout']
raw_data,3,,,,,,,,,3,lower_case_with_underscores,"['raw', 'data']"
run_ansible_playbook,3,1,,,,,,,,2,lower_case_with_underscores,"['run', 'ansible', 'playbook']"
is_handler,2,,,,,,,,,2,lower_case_with_underscores,"['is', 'handler']"
set_missing_host_key_policy,1,,,,,,,,,1,lower_case_with_underscores,"['set', 'missing', 'host', 'key', 'policy']"
on_setup,3,2,,,,,,,,1,lower_case_with_underscores,"['on', 'setup']"
write_tree_file,3,1,,,,,,,,2,lower_case_with_underscores,"['write', 'tree', 'file']"
_cache_key,3,1,,,,,,,,2,lower_case_with_underscores,"['cache', 'key']"
test_assemble,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'assemble']"
snippet_path,3,,,,,,,,,3,lower_case_with_underscores,"['snippet', 'path']"
t2,4,,,,,,,,,4,lowercase,['t2']
_stop,2,1,,,,,,,,1,lowercase,['stop']
pathlist,4,,,,,,,,,4,lowercase,['pathlist']
get_all_dbinstances,1,,,,,,,,,1,lower_case_with_underscores,"['get', 'all', 'dbinstances']"
InventoryDirectory,4,,1,1,,,,,,2,CapitalizedWords,"['inventory', 'directory']"
aliases_results,3,,,,,,,,,3,lower_case_with_underscores,"['aliases', 'results']"
flock,2,,,,,,,,,2,lowercase,['flock']
getch,3,1,,1,,,,,,1,lowercase,['getch']
banner_cowsay,2,1,,,,,,,,1,lower_case_with_underscores,"['banner', 'cowsay']"
basedir,295,1,,,,,8,,,286,lowercase,['basedir']
content,26,,,,,,1,,,25,lowercase,['content']
re,47,,,18,,,,,,29,lowercase,['re']
rf,2,,,,,,,,,2,lowercase,['rf']
to_nice_json,2,1,,,,,,,,1,lower_case_with_underscores,"['to', 'nice', 'json']"
rc,27,,,,,,5,,,22,lowercase,['rc']
got,2,,,,,,,,,2,lowercase,['got']
incompatibles,2,,,,,,,,,2,lowercase,['incompatibles']
is_lookup,9,,,,,,,,,9,lower_case_with_underscores,"['is', 'lookup']"
GCE,2,,,,,,,,,2,UPPERCASE,"['gc', 'e']"
TestFilters,1,,1,,,,,,,,CapitalizedWords,"['test', 'filters']"
orig_gid,3,,,,,,,,,3,lower_case_with_underscores,"['orig', 'gid']"
wanted,9,,,,,,,,,9,lowercase,['wanted']
md5,11,2,,6,,,,,,3,lowercase,['md5']
part_start,9,,,,,,,,,9,lower_case_with_underscores,"['part', 'start']"
sys,179,,,37,,,,,,142,lowercase,['sys']
logging,7,,,2,,,,,,5,lowercase,['logging']
includes_file,3,,,,,,,,,3,lower_case_with_underscores,"['includes', 'file']"
traceback,27,,,12,,,,,,15,lowercase,['traceback']
dep_defaults_data,3,,,,,,,,,3,lower_case_with_underscores,"['dep', 'defaults', 'data']"
filter,2,,,,,,1,,,1,lowercase,['filter']
ST_SIZE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['st', 'size']"
_TO_UNICODE_TYPES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['to', 'unicode', 'types']"
close_fds,5,,,,,,2,,,3,lower_case_with_underscores,"['close', 'fds']"
_partition_results,2,1,,,,,,,,1,lower_case_with_underscores,"['partition', 'results']"
render,2,,,,,,,,,2,lowercase,['render']
makefile,1,,,,,,,,,1,lowercase,['makefile']
remote_pass,13,,,,,,4,,,9,lower_case_with_underscores,"['remote', 'pass']"
CIDR1,7,,,,,,,,,7,UPPERCASE,['cidr1']
enumerate,4,,,,,,,,,4,lowercase,['enumerate']
salt_size,13,,,,,,2,,,11,lower_case_with_underscores,"['salt', 'size']"
basestring,42,,,,,,,,,42,lowercase,['basestring']
isalnum,1,,,,,,,,,1,lowercase,['isalnum']
_apply_ranges,2,1,,,,,,,,1,lower_case_with_underscores,"['apply', 'ranges']"
add_instance,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'instance']"
module_result,6,,,,,,,,,6,lower_case_with_underscores,"['module', 'result']"
NUM,4,,,,,,,,,4,UPPERCASE,"['nu', 'm']"
master,2,,,,,,,,,2,lowercase,['master']
autoclass_content,1,,,,,,,,,1,lower_case_with_underscores,"['autoclass', 'content']"
DEFAULT_SYSLOG_FACILITY,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['default', 'syslog', 'facility']"
warns,3,,,,,,,,,3,lowercase,['warns']
_check_argument_values,2,1,,,,,,,,1,lower_case_with_underscores,"['check', 'argument', 'values']"
_find_snippet_imports,2,1,,,,,,,,1,lower_case_with_underscores,"['find', 'snippet', 'imports']"
pattern_str,4,,,,,,,,,4,lower_case_with_underscores,"['pattern', 'str']"
add_host,16,1,,,,,,,,15,lower_case_with_underscores,"['add', 'host']"
filtered_lines,3,,,,,,,,,3,lower_case_with_underscores,"['filtered', 'lines']"
sudo_prompt,3,,,,,,,,,3,lower_case_with_underscores,"['sudo', 'prompt']"
tokens,57,,,,,,,,,57,lowercase,['tokens']
sha1,2,,,1,,,,,,1,lowercase,['sha1']
abs_dirs,4,,,,,,,,,4,lower_case_with_underscores,"['abs', 'dirs']"
runner_results,3,,,,,,,,,3,lower_case_with_underscores,"['runner', 'results']"
role_vars,15,,,,,,,,,15,lower_case_with_underscores,"['role', 'vars']"
get_driver,4,,,2,,,,,,2,lower_case_with_underscores,"['get', 'driver']"
target,3,,,,,,1,,,2,lowercase,['target']
roles,13,,,,,,,,,13,lowercase,['roles']
tree,15,,,,,,,,,15,lowercase,['tree']
project,1,,,,,,,,,1,lowercase,['project']
CallbackModule,6,,6,,,,,,,,CapitalizedWords,"['callback', 'module']"
outputname,11,,,,,,,,,11,lowercase,['outputname']
runner,385,,,25,,,29,,,331,lowercase,['runner']
mine,4,,,,,,,,,4,lowercase,['mine']
private_key_file,35,,,,,,5,,,30,lower_case_with_underscores,"['private', 'key', 'file']"
raw,26,,,,,,1,,,25,lowercase,['raw']
seed,1,,,,,,,,,1,lowercase,['seed']
slurpres,4,,,,,,,,,4,lowercase,['slurpres']
seen,5,,,,,,,,,5,lowercase,['seen']
seek,1,,,,,,,,,1,lowercase,['seek']
