name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
create_authorization_url,10,2,,,,,,,,8,lower_case_with_underscores,"['create', 'authorization', 'url']"
fetch_access_token,29,3,,,,,,,,26,lower_case_with_underscores,"['fetch', 'access', 'token']"
request_token,18,,,,,3,3,,,12,lower_case_with_underscores,"['request', 'token']"
token_endpoint,8,,,3,,,,,,5,lower_case_with_underscores,"['token', 'endpoint']"
add_code_challenge,3,1,,,,,,,,2,lower_case_with_underscores,"['add', 'code', 'challenge']"
save_code_verifier,2,,,,,1,,,,1,lower_case_with_underscores,"['save', 'code', 'verifier']"
code_challenge_method,11,,,,,,3,,,8,lower_case_with_underscores,"['code', 'challenge', 'method']"
verifier,71,4,,,,9,6,,,52,lowercase,['verifier']
startswith,19,,,,,,,,,19,lowercase,['startswith']
urljoin,1,,,,,,,,,1,lowercase,['urljoin']
AuthlibBaseError,8,,1,3,,,,,,4,CapitalizedWords,"['authlib', 'base', 'error']"
TokenExpiredError,1,,1,,,,,,,,CapitalizedWords,"['token', 'expired', 'error']"
MismatchingStateError,5,,1,2,,,,,,2,CapitalizedWords,"['mismatching', 'state', 'error']"
AuthBase,5,,,2,,,,,,3,CapitalizedWords,"['auth', 'base']"
SIGNATURE_HMAC_SHA1,14,,,7,,,,,,7,UPPER_CASE_WITH_UNDERSCORES,"['signature', 'hmac', 'sha1']"
SIGNATURE_TYPE_HEADER,13,,,7,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['signature', 'type', 'header']"
encoding,34,,,31,,1,,,,2,lowercase,['encoding']
to_native,14,1,,5,,,,,,8,lower_case_with_underscores,"['to', 'native']"
ClientAuth,13,,2,7,,,,,,4,CapitalizedWords,"['client', 'auth']"
OAuth1Auth,3,,1,1,,,,,,1,CapitalizedWords,"['o', 'auth1', 'auth']"
prepare_headers,4,1,,1,,,,,,2,lower_case_with_underscores,"['prepare', 'headers']"
auth_class,3,,,,,,,,,3,lower_case_with_underscores,"['auth', 'class']"
token_secret,21,1,,,,5,2,,,13,lower_case_with_underscores,"['token', 'secret']"
rsa_key,13,,,,,3,3,,,7,lower_case_with_underscores,"['rsa', 'key']"
signature_method,16,1,,,,3,4,,,8,lower_case_with_underscores,"['signature', 'method']"
signature_type,19,,,,,3,4,,,12,lower_case_with_underscores,"['signature', 'type']"
force_include_body,10,,,,,3,2,,,5,lower_case_with_underscores,"['force', 'include', 'body']"
authorization_url,2,2,,,,,,,,,lower_case_with_underscores,"['authorization', 'url']"
rebuild_auth,1,1,,,,,,,,,lower_case_with_underscores,"['rebuild', 'auth']"
prepared_request,4,,,,,1,,,,3,lower_case_with_underscores,"['prepared', 'request']"
response,3,,,,,2,,,,1,lowercase,['response']
prepare_auth,1,,,,,,,,,1,lower_case_with_underscores,"['prepare', 'auth']"
client_auth,8,,,3,,,,,,5,lower_case_with_underscores,"['client', 'auth']"
TokenAuth,5,,1,2,,,,,,2,CapitalizedWords,"['token', 'auth']"
DEFAULT_HEADERS,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['default', 'headers']"
OAuth2ClientAuth,2,,1,,,,,,,1,CapitalizedWords,"['o', 'auth2', 'client', 'auth']"
client_auth_class,3,,,,,,,,,3,lower_case_with_underscores,"['client', 'auth', 'class']"
token_auth_class,3,,,,,,,,,3,lower_case_with_underscores,"['token', 'auth', 'class']"
token_endpoint_auth_method,32,,,,,3,15,,,14,lower_case_with_underscores,"['token', 'endpoint', 'auth', 'method']"
state,137,1,,,,12,20,,,104,lowercase,['state']
client_auth_method,6,,,,,1,1,,,4,lower_case_with_underscores,"['client', 'auth', 'method']"
register_client_auth_method,4,2,,,,,,,,2,lower_case_with_underscores,"['register', 'client', 'auth', 'method']"
func,46,,,,,7,,,,39,lowercase,['func']
register,23,4,,,,,,,,19,lowercase,['register']
fetch_token,38,3,,,,5,3,,,27,lower_case_with_underscores,"['fetch', 'token']"
assertion_session,1,,,1,,,,,,,lower_case_with_underscores,"['assertion', 'session']"
*,41,,,41,,,,,,,ugly,['*']
sys,4,,,2,,,,,,2,lowercase,['sys']
base64,9,,,4,,,,,,5,lowercase,['base64']
struct,3,,,1,,,,,,2,lowercase,['struct']
is_py2,3,,,,,,,,,3,lower_case_with_underscores,"['is', 'py2']"
version_info,1,,,,,,,,,1,lower_case_with_underscores,"['version', 'info']"
unicode_type,16,,,1,,,,,,15,lower_case_with_underscores,"['unicode', 'type']"
unicode,2,,,,,,,,,2,lowercase,['unicode']
byte_type,5,,,,,,,,,5,lower_case_with_underscores,"['byte', 'type']"
text_types,8,,,2,,,,,,6,lower_case_with_underscores,"['text', 'types']"
bytes,1,,,,,,,,,1,lowercase,['bytes']
to_bytes,63,1,,16,,,,,,46,lower_case_with_underscores,"['to', 'bytes']"
x,27,,,,,4,,,,23,b,['x']
charset,6,,,,,2,1,,,3,lowercase,['charset']
isinstance,84,,,,,,,,,84,lowercase,['isinstance']
encode,26,1,,,,,,,,25,lowercase,['encode']
int,44,,,,,,,,,44,lowercase,['int']
float,1,,,,,,,,,1,lowercase,['float']
to_unicode,60,1,,16,,,,,,43,lower_case_with_underscores,"['to', 'unicode']"
decode,37,1,,,,4,,,,32,lowercase,['decode']
urlsafe_b64decode,10,1,,3,,,,,,6,lower_case_with_underscores,"['urlsafe', 'b64decode']"
s,117,,,,,22,,,,95,b,['s']
len,17,,,,,,,,,17,lowercase,['len']
urlsafe_b64encode,23,1,,6,,,,,,16,lower_case_with_underscores,"['urlsafe', 'b64encode']"
rstrip,1,,,,,,,,,1,lowercase,['rstrip']
base64_to_int,19,1,,2,,,,,,16,lower_case_with_underscores,"['base64', 'to', 'int']"
buf,7,,,,,,,,,7,lowercase,['buf']
unpack,1,,,,,,,,,1,lowercase,['unpack']
join,32,,,,,,,,,32,lowercase,['join']
byte,2,,,,,,,,,2,lowercase,['byte']
int_to_base64,17,1,,1,,,,,,15,lower_case_with_underscores,"['int', 'to', 'base64']"
num,9,,,,,2,,,,7,lowercase,['num']
ValueError,129,,,,,,,,,129,CapitalizedWords,"['value', 'error']"
hasattr,6,,,,,,,,,6,lowercase,['hasattr']
bit_length,1,,,,,,,,,1,lower_case_with_underscores,"['bit', 'length']"
signed,1,,,,,,1,,,,lowercase,['signed']
remainder,2,,,,,,,,,2,lowercase,['remainder']
divmod,1,,,,,,,,,1,lowercase,['divmod']
append,42,,,,,,,,,42,lowercase,['append']
reverse,1,,,,,,,,,1,lowercase,['reverse']
pack,1,,,,,,,,,1,lowercase,['pack']
json_b64encode,7,1,,2,,,,,,4,lower_case_with_underscores,"['json', 'b64encode']"
dumps,27,5,,,,,,,,22,lowercase,['dumps']
separators,2,,,,,,2,,,,lowercase,['separators']
Exception,1,,,,,,,,,1,CapitalizedWords,['exception']
uri,131,,,,,32,,,,99,lowercase,['uri']
AuthlibHTTPError,6,,1,2,,,,,,3,CapitalizedWords,"['authlib', 'http', 'error']"
status_code,85,,,,,12,3,,,70,lower_case_with_underscores,"['status', 'code']"
_translations,4,,,,,,,,,4,lowercase,['translations']
_error_uris,4,,,,,,,,,4,lower_case_with_underscores,"['error', 'uris']"
gettext,12,1,,,,,,,,11,lowercase,['gettext']
get_error_description,14,11,,,,,,,,3,lower_case_with_underscores,"['get', 'error', 'description']"
get_error_uri,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'error', 'uri']"
get_body,19,3,,,,,,,,16,lower_case_with_underscores,"['get', 'body']"
get_headers,12,5,,,,,,,,7,lower_case_with_underscores,"['get', 'headers']"
translations,3,,,,,1,1,,,1,lowercase,['translations']
error_uris,6,,,,,1,1,,,4,lower_case_with_underscores,"['error', 'uris']"
os,22,,,9,,,,,,13,lowercase,['os']
string,3,,,1,,,,,,2,lowercase,['string']
random,4,,,2,,,,,,2,lowercase,['random']
