name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
v_i,2,,,,,,,,,2,lower_case_with_underscores,"['v', 'i']"
_A,1,,,,,,,,,1,B,"['', 'a']"
fip,2,,,,,,,,,2,lowercase,['fip']
v_W,12,,,,,,,,,12,ugly,"['v', 'w']"
vectorize,2,,,,,,,,,2,lowercase,['vectorize']
_z,3,,,,,,,,,3,b,['z']
_y,17,,,,,,,,,17,b,['y']
_x,35,,,,,,,,,35,b,['x']
blocksparse,4,1,,1,,,,,,2,lowercase,['blocksparse']
test_wrong_input_on_creation,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'wrong', 'input', 'on', 'creation']"
_u,12,,,,,,,,,12,b,['u']
_t,8,,,,,,,,,8,b,['t']
_s,6,,,,,,,,,6,b,['s']
calc_limit,5,1,,,,,,,,4,lower_case_with_underscores,"['calc', 'limit']"
_p,16,,,,,,,,,16,b,['p']
_o,4,,,,,,,,,4,b,['o']
_n,18,,,,,,,,,18,b,['n']
_m,1,,,,,,,,,1,b,['m']
_get_c_flags,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'c', 'flags']"
fill_diagonal_,2,,,,,,,,,2,lower_case_with_underscores,"['fill', 'diagonal']"
fig,4,,,,,,,,,4,lowercase,['fig']
_i,4,,,,,,,,,4,b,['i']
is_valid_check_preallocated_output_param,2,1,,,,,,,,1,lower_case_with_underscores,"['is', 'valid', 'check', 'preallocated', 'output', 'param']"
_g,8,,,,,,,,,8,b,['g']
_f,2,,,,,,,,,2,b,['f']
hidden,6,,,,,,,,,6,lowercase,['hidden']
_d,4,,,,,,,,,4,b,['d']
_c,9,,,,,,,,,9,b,['c']
_b,46,,,,,,,,,46,b,['b']
variable_list,4,,,,,,,,,4,lower_case_with_underscores,"['variable', 'list']"
g_buf,1,,,,,,,,,1,lower_case_with_underscores,"['g', 'buf']"
g_val,6,,,,,,,,,6,lower_case_with_underscores,"['g', 'val']"
var1,8,,,,,,1,,,7,lowercase,['var1']
sub_inplace,4,1,,,,,,,,3,lower_case_with_underscores,"['sub', 'inplace']"
var2,8,,,,,,1,,,7,lowercase,['var2']
test_extra_inputs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'extra', 'inputs']"
BadOptimization,5,,1,,,,,,,4,CapitalizedWords,"['bad', 'optimization']"
num_rounds,3,,,,,,,,,3,lower_case_with_underscores,"['num', 'rounds']"
f11,4,,,,,,,,,4,lowercase,['f11']
test_cloning_replace_not_strict_not_copy_inputs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'cloning', 'replace', 'not', 'strict', 'not', 'copy', 'inputs']"
xdim,10,,,,,,,,,10,lowercase,['xdim']
slicing,15,,,,,,,,,15,lowercase,['slicing']
u2_t,26,,,,,,,,,26,lower_case_with_underscores,"['u2', 't']"
fillcolor,7,,,,,,7,,,,lowercase,['fillcolor']
new_r2,4,,,,,,,,,4,lower_case_with_underscores,"['new', 'r2']"
exp_out,6,,,,,,,,,6,lower_case_with_underscores,"['exp', 'out']"
g_var,7,,,,,,,,,7,lower_case_with_underscores,"['g', 'var']"
ordered_set,4,,,4,,,,,,,lower_case_with_underscores,"['ordered', 'set']"
t_qr,8,,,,,,,,,8,lower_case_with_underscores,"['t', 'qr']"
imvsize,9,,,,,,,,,9,lowercase,['imvsize']
cuda_shared_constructor,1,1,,,,,,,,,lower_case_with_underscores,"['cuda', 'shared', 'constructor']"
reuse_outputs,6,,,,,,,,,6,lower_case_with_underscores,"['reuse', 'outputs']"
x_name,7,,,,,,,,,7,lower_case_with_underscores,"['x', 'name']"
exc_trace,13,,,,,,,,,13,lower_case_with_underscores,"['exc', 'trace']"
_3,1,,,,,,,,,1,mixedCase,['3']
_2,19,,,,,,,,,19,mixedCase,['2']
_1,2,,,,,,,,,2,mixedCase,['1']
dumps,26,,,,,,,,,26,lowercase,['dumps']
ftensor3s,1,,,,,,,,,1,lowercase,['ftensor3s']
orig_dir,2,,,,,,,,,2,lower_case_with_underscores,"['orig', 'dir']"
conv_mode,57,,,,,,10,,,47,lower_case_with_underscores,"['conv', 'mode']"
timeout,8,,,,,,1,,,7,lowercase,['timeout']
debug,80,,,,,,3,,,77,lowercase,['debug']
slice_inputs,9,,,,,,,,,9,lower_case_with_underscores,"['slice', 'inputs']"
test_mean_precision,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'mean', 'precision']"
f_gpu,56,,,,,,,,,56,lower_case_with_underscores,"['f', 'gpu']"
test_abs_mul_div,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'abs', 'mul', 'div']"
z_val,5,,,,,,,,,5,lower_case_with_underscores,"['z', 'val']"
c_declare,19,11,,,,,,,,8,lower_case_with_underscores,"['c', 'declare']"
ArcSin,2,,1,,,,,,,1,CapitalizedWords,"['arc', 'sin']"
r_,14,,,,,,,,,14,b,['r']
REDUCE,1,,,,,,,,,1,UPPERCASE,"['reduc', 'e']"
string_types,4,,,1,,,,,,3,lower_case_with_underscores,"['string', 'types']"
correct6,1,,,,,,1,,,,lowercase,['correct6']
test_dot_mv,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'dot', 'mv']"
cst2,5,,,,,,,,,5,lowercase,['cst2']
correct5,1,,,,,,1,,,,lowercase,['correct5']
correct2,2,,,,,,2,,,,lowercase,['correct2']
correct3,2,,,,,,2,,,,lowercase,['correct3']
new_pos_pairs,3,,,,,,,,,3,lower_case_with_underscores,"['new', 'pos', 'pairs']"
correct1,2,,,,,,2,,,,lowercase,['correct1']
test_rop,4,1,,3,,,,,,,lower_case_with_underscores,"['test', 'rop']"
test_unimplemented_grad_grad,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'unimplemented', 'grad', 'grad']"
is_same,2,,,,,,,,,2,lower_case_with_underscores,"['is', 'same']"
in_shapes,38,,,,,,,,,38,lower_case_with_underscores,"['in', 'shapes']"
list_of_vars,3,,,,,,,,,3,lower_case_with_underscores,"['list', 'of', 'vars']"
