name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
test_similar_matrices,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'similar', 'matrices']"
test_matrices_varying_similarity,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'matrices', 'varying', 'similarity']"
test_completely_dissimilar_vectors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'completely', 'dissimilar', 'vectors']"
source_tensors,4,,,,,,,,,4,lower_case_with_underscores,"['source', 'tensors']"
previous_sources,2,,,,,,,,,2,lower_case_with_underscores,"['previous', 'sources']"
allowed_args,4,,,,,,,,,4,lower_case_with_underscores,"['allowed', 'args']"
callable_note,3,,,,,,,,,3,lower_case_with_underscores,"['callable', 'note']"
unique_weights,4,,,,,,,,,4,lower_case_with_underscores,"['unique', 'weights']"
weight_shapes,2,,,,,,,,,2,lower_case_with_underscores,"['weight', 'shapes']"
standardized_weight_shapes,2,,,,,,,,,2,lower_case_with_underscores,"['standardized', 'weight', 'shapes']"
get_layer_index_bound_by_layer_name,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'layer', 'index', 'bound', 'by', 'layer', 'name']"
lower_index,5,,,,,,,,,5,lower_case_with_underscores,"['lower', 'index']"
upper_index,5,,,,,,,,,5,lower_case_with_underscores,"['upper', 'index']"
sequential_like,9,,,,,,,,,9,lower_case_with_underscores,"['sequential', 'like']"
to_display,4,,,,,,,,,4,lower_case_with_underscores,"['to', 'display']"
print_row,4,1,,,,,,,,3,lower_case_with_underscores,"['print', 'row']"
fields,11,,,,,1,,,,10,lowercase,['fields']
nested_level,22,,,,,4,,,,18,lower_case_with_underscores,"['nested', 'level']"
left_to_print,6,,,,,,,,,6,lower_case_with_underscores,"['left', 'to', 'print']"
start_pos,3,,,,,,,,,3,lower_case_with_underscores,"['start', 'pos']"
end_pos,2,,,,,,,,,2,lower_case_with_underscores,"['end', 'pos']"
space,4,,,,,,,,,4,lowercase,['space']
cutoff,5,,,,,,,,,5,lowercase,['cutoff']
fit_into_line,6,,,,,,,,,6,lower_case_with_underscores,"['fit', 'into', 'line']"
line_break_conditions,2,,,,,,,,,2,lower_case_with_underscores,"['line', 'break', 'conditions']"
candidate_cutoffs,3,,,,,,,,,3,lower_case_with_underscores,"['candidate', 'cutoffs']"
print_layer_summary,2,1,,,,,,,,1,lower_case_with_underscores,"['print', 'layer', 'summary']"
print_layer_summary_with_connections,2,1,,,,,,,,1,lower_case_with_underscores,"['print', 'layer', 'summary', 'with', 'connections']"
connections,3,,,,,,,,,3,lowercase,['connections']
print_layer,3,1,,,,,,,,2,lower_case_with_underscores,"['print', 'layer']"
is_nested_last,5,,,,,1,,,,4,lower_case_with_underscores,"['is', 'nested', 'last']"
trainable_count,4,,,,,,,,,4,lower_case_with_underscores,"['trainable', 'count']"
non_trainable_count,3,,,,,,,,,3,lower_case_with_underscores,"['non', 'trainable', 'count']"
convert_dense_weights_data_format,1,1,,,,,,,,,lower_case_with_underscores,"['convert', 'dense', 'weights', 'data', 'format']"
previous_feature_map_shape,4,,,,,1,,,,3,lower_case_with_underscores,"['previous', 'feature', 'map', 'shape']"
target_data_format,3,,,,,1,,,,2,lower_case_with_underscores,"['target', 'data', 'format']"
original_fm_shape,4,,,,,,,,,4,lower_case_with_underscores,"['original', 'fm', 'shape']"
ki,7,,,,,,,,,7,lowercase,['ki']
_keras_api_names,1,,,,,,,,,1,lower_case_with_underscores,"['keras', 'api', 'names']"
_keras_api_names_v1,1,,,,,,,,,1,lower_case_with_underscores,"['keras', 'api', 'names', 'v1']"
existing,3,,,,,,,,,3,lowercase,['existing']
_full_argspec,7,,,,,,,,,7,lower_case_with_underscores,"['full', 'argspec']"
_arg_names,16,,,,,,,,,16,lower_case_with_underscores,"['arg', 'names']"
call_accepts_kwargs,3,,,,,,,,,3,lower_case_with_underscores,"['call', 'accepts', 'kwargs']"
