name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
_all_db_reqs,3,,,,,,,,,3,lower_case_with_underscores,"['all', 'db', 'reqs']"
all_dbs,2,,,,,,,,,2,lower_case_with_underscores,"['all', 'dbs']"
_all_dependencies,2,,,,,,,,,2,lower_case_with_underscores,"['all', 'dependencies']"
values,228,2,,,,15,20,,,191,lowercase,['values']
_all_dependencies_without_airflow_providers,3,,,,,,,,,3,lower_case_with_underscores,"['all', 'dependencies', 'without', 'airflow', 'providers']"
filter,550,1,,,,22,17,,,510,lowercase,['filter']
k,382,,,,,8,,,,374,b,['k']
devel_all,5,,,,,,,,,5,lower_case_with_underscores,"['devel', 'all']"
PACKAGES_EXCLUDED_FOR_ALL,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['packages', 'excluded', 'for', 'all']"
extend,112,,,,,,,,,112,lowercase,['extend']
is_package_excluded,2,1,,,,,,,,1,lower_case_with_underscores,"['is', 'package', 'excluded']"
package,22,,,,,3,1,,,18,lowercase,['package']
exclusion_list,9,,,,,1,1,,,7,lower_case_with_underscores,"['exclusion', 'list']"
any,54,,,,,,,,,54,lowercase,['any']
startswith,120,,,,,,,,,120,lowercase,['startswith']
excluded_package,2,,,,,,,,,2,lower_case_with_underscores,"['excluded', 'package']"
bool,1495,,,,,,,,,1495,lowercase,['bool']
remove_provider_limits,4,1,,,,,,,,3,lower_case_with_underscores,"['remove', 'provider', 'limits']"
split,173,,,,,,,,,173,lowercase,['split']
devel_ci,2,,,,,,,,,2,lower_case_with_underscores,"['devel', 'ci']"
sort_extras_dependencies,2,1,,,,,,,,1,lower_case_with_underscores,"['sort', 'extras', 'dependencies']"
sorted_dependencies,3,,,,,,,,,3,lower_case_with_underscores,"['sorted', 'dependencies']"
sorted_extra_ids,2,,,,,,,,,2,lower_case_with_underscores,"['sorted', 'extra', 'ids']"
sorted,87,,,,,,,,,87,lowercase,['sorted']
extra_id,3,,,,,,,,,3,lower_case_with_underscores,"['extra', 'id']"
PREINSTALLED_PROVIDERS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['preinstalled', 'providers']"
get_provider_package_name_from_package_id,6,1,,,,,,,,5,lower_case_with_underscores,"['get', 'provider', 'package', 'name', 'from', 'package', 'id']"
package_id,4,,,,,1,,,,3,lower_case_with_underscores,"['package', 'id']"
package_suffix,2,,,,,,,,,2,lower_case_with_underscores,"['package', 'suffix']"
replace,268,1,,,,30,22,,,215,lowercase,['replace']
get_excluded_providers,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'excluded', 'providers']"
get_all_provider_packages,1,1,,,,,,,,,lower_case_with_underscores,"['get', 'all', 'provider', 'packages']"
excluded_providers,2,,,,,,,,,2,lower_case_with_underscores,"['excluded', 'providers']"
AirflowDistribution,2,,1,,,,,,,1,CapitalizedWords,"['airflow', 'distribution']"
attrs,12,,,,,1,,,,11,lowercase,['attrs']
super,1257,,,,,,,,,1257,lowercase,['super']
install_requires,4,,,,,,,,,4,lower_case_with_underscores,"['install', 'requires']"
parse_config_files,2,1,,,,,,,,1,lower_case_with_underscores,"['parse', 'config', 'files']"
args,1563,,,,,347,119,,,1097,lowercase,['args']
kwargs,2775,,,,,1230,11,,,1534,lowercase,['kwargs']
getenv,55,,,6,,,,,,49,lowercase,['getenv']
provider_yaml_files,2,,,,,,,,,2,lower_case_with_underscores,"['provider', 'yaml', 'files']"
provider_yaml_file,4,,,,,,,,,4,lower_case_with_underscores,"['provider', 'yaml', 'file']"
provider_relative_path,2,,,,,,,,,2,lower_case_with_underscores,"['provider', 'relative', 'path']"
append,391,,,,,7,3,,,381,lowercase,['append']
package_data,21,,,,,1,,,,20,lower_case_with_underscores,"['package', 'data']"
providers,895,1,,862,,2,3,,,27,lowercase,['providers']
package_name,196,,,,,8,18,,,170,lower_case_with_underscores,"['package', 'name']"
add_provider_packages_to_extra_dependencies,6,1,,,,,,,,5,lower_case_with_underscores,"['add', 'provider', 'packages', 'to', 'extra', 'dependencies']"
add_all_provider_packages,2,1,,,,,,,,1,lower_case_with_underscores,"['add', 'all', 'provider', 'packages']"
provider_id,6,,,,,,,,,6,lower_case_with_underscores,"['provider', 'id']"
