name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
basestring,8,,,,,,,,,8,lowercase,['basestring']
cartesian,4,1,,,,,,,,3,lowercase,['cartesian']
_active_spark_context,22,,,,,,,,,22,lower_case_with_underscores,"['active', 'spark', 'context']"
pyClass,3,,,,,,,,,3,mixedCase,"['py', 'class']"
test_accumulator_when_reuse_worker,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'accumulator', 'when', 'reuse', 'worker']"
top,13,1,,,,,,,,12,lowercase,['top']
callJavaFunc,5,1,,1,,,,,,3,mixedCase,"['call', 'java', 'func']"
master,26,,,,,,,,,26,lowercase,['master']
primary_author,2,,,,,,,,,2,lower_case_with_underscores,"['primary', 'author']"
num_slaves_this_zone,10,,,,,,,,,10,lower_case_with_underscores,"['num', 'slaves', 'this', 'zone']"
delete_on_termination,1,,,,,,,,,1,lower_case_with_underscores,"['delete', 'on', 'termination']"
jira_issue,5,,,,,,,,,5,lower_case_with_underscores,"['jira', 'issue']"
listen,1,,,,,,,,,1,lowercase,['listen']
sort_stats,1,,,,,,,,,1,lower_case_with_underscores,"['sort', 'stats']"
isAlive,1,,,,,,,,,1,mixedCase,"['is', 'alive']"
Py4JJavaError,6,,,3,,,,,,3,CapitalizedWords,"['py4j', 'java', 'error']"
et,7,,,,,,,,,7,lowercase,['et']
candidate_names,6,,,,,,,,,6,lower_case_with_underscores,"['candidate', 'names']"
transition_issue,1,,,,,,,,,1,lower_case_with_underscores,"['transition', 'issue']"
PickleSerializer,31,,1,10,,,,,,20,CapitalizedWords,"['pickle', 'serializer']"
_get_spill_dir,6,1,,,,,,,,5,lower_case_with_underscores,"['get', 'spill', 'dir']"
max_val,3,,,,,,,,,3,lower_case_with_underscores,"['max', 'val']"
setProperty,1,,,,,,,,,1,mixedCase,"['set', 'property']"
get_used_memory,16,2,,1,,,,,,13,lower_case_with_underscores,"['get', 'used', 'memory']"
translate_issue_type,2,1,,,,,,,,1,lower_case_with_underscores,"['translate', 'issue', 'type']"
LongType,3,,1,,,,,,,2,CapitalizedWords,"['long', 'type']"
target,5,,,,,,5,,,,lowercase,['target']
use_unicode,13,,,,,,,,,13,lower_case_with_underscores,"['use', 'unicode']"
temp_author,8,,,,,,,,,8,lower_case_with_underscores,"['temp', 'author']"
iteration,1,,,,,,,,,1,lowercase,['iteration']
loadDefaults,2,,,,,,,,,2,mixedCase,"['load', 'defaults']"
project,1,,,,,,,,,1,lowercase,['project']
pr_events,2,,,,,,,,,2,lower_case_with_underscores,"['pr', 'events']"
_ssql_ctx,17,2,,,,,,,,15,lower_case_with_underscores,"['ssql', 'ctx']"
entries,2,,,,,,,,,2,lowercase,['entries']
JavaVectorTransformer,6,,1,,,,,,,5,CapitalizedWords,"['java', 'vector', 'transformer']"
save_function,3,1,,,,,,,,2,lower_case_with_underscores,"['save', 'function']"
wfile,1,,,,,,,,,1,lowercase,['wfile']
failure_count,28,,,,,,,,,28,lower_case_with_underscores,"['failure', 'count']"
SPARK_HOME,16,,,,,,,,,16,UPPER_CASE_WITH_UNDERSCORES,"['spark', 'home']"
test_infer_schema,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'infer', 'schema']"
