name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
AirflowWebServerTimeout,8,,2,2,,,,,,4,CapitalizedWords,"['airflow', 'web', 'server', 'timeout']"
AirflowSkipException,22,,2,10,,,,,,10,CapitalizedWords,"['airflow', 'skip', 'exception']"
AirflowDagCycleException,21,,2,5,,,,,,14,CapitalizedWords,"['airflow', 'dag', 'cycle', 'exception']"
DagNotFound,33,,2,15,,,,,,16,CapitalizedWords,"['dag', 'not', 'found']"
DagRunNotFound,8,,2,3,,,,,,3,CapitalizedWords,"['dag', 'run', 'not', 'found']"
DagRunAlreadyExists,6,,2,2,,,,,,2,CapitalizedWords,"['dag', 'run', 'already', 'exists']"
DagFileExists,14,,2,6,,,,,,6,CapitalizedWords,"['dag', 'file', 'exists']"
TaskNotFound,12,,2,5,,,,,,5,CapitalizedWords,"['task', 'not', 'found']"
TaskInstanceNotFound,6,,2,2,,,,,,2,CapitalizedWords,"['task', 'instance', 'not', 'found']"
PoolNotFound,16,,2,5,,,,,,9,CapitalizedWords,"['pool', 'not', 'found']"
getpass,40,,,17,,,,,,23,lowercase,['getpass']
multiprocessing,58,,,17,,,,,,41,lowercase,['multiprocessing']
signal,177,,,23,,,,,,154,lowercase,['signal']
threading,22,,,11,,,,,,11,lowercase,['threading']
time,384,,,125,,1,,,,258,lowercase,['time']
defaultdict,38,,,11,,,,,,27,lowercase,['defaultdict']
sleep,201,,,19,,,,,,182,lowercase,['sleep']
past,111,,,27,,7,42,,,35,lowercase,['past']
basestring,54,,,22,,,,,,32,lowercase,['basestring']
sqlalchemy,216,,,208,,,,,,8,lowercase,['sqlalchemy']
Column,741,,,28,,,,,,713,CapitalizedWords,['column']
Index,42,,,12,,,,,,30,CapitalizedWords,['index']
Integer,185,,,24,,,,,,161,CapitalizedWords,['integer']
String,299,,,27,,,,,,272,CapitalizedWords,['string']
and_,43,,,12,,,,,,31,lowercase,['and']
not_,6,,,2,,,,,,4,lowercase,['not']
or_,63,,,18,,,,,,45,lowercase,['or']
OperationalError,18,,,7,,,,,,11,CapitalizedWords,"['operational', 'error']"
orm,31,,,21,,,,,,10,lowercase,['orm']
make_transient,14,,,4,,,,,,10,lower_case_with_underscores,"['make', 'transient']"
configuration,825,,,288,,2,1,,,534,lowercase,['configuration']
executors,124,,,102,,,,,,22,lowercase,['executors']
DAG,1231,,2,302,,,,,,927,UPPERCASE,"['da', 'g']"
DagRun,513,,2,64,,,,,,447,CapitalizedWords,"['dag', 'run']"
Stats,84,,,9,,,,,,75,CapitalizedWords,['stats']
task,2316,4,,13,,29,351,,,1919,lowercase,['task']
task_runner,37,,,18,,,,,,19,lower_case_with_underscores,"['task', 'runner']"
get_task_runner,6,2,,2,,,,,,2,lower_case_with_underscores,"['get', 'task', 'runner']"
ti_deps,105,,,105,,,,,,,lower_case_with_underscores,"['ti', 'deps']"
dep_context,218,,,22,,38,50,,,108,lower_case_with_underscores,"['dep', 'context']"
DepContext,74,,2,20,,,,,,52,CapitalizedWords,"['dep', 'context']"
QUEUE_DEPS,11,,,4,,,,,,7,UPPER_CASE_WITH_UNDERSCORES,"['queue', 'deps']"
RUN_DEPS,6,,,2,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['run', 'deps']"
asciiart,8,,,6,,,,,,2,lowercase,['asciiart']
helpers,92,,,45,,,,,,47,lowercase,['helpers']
timezone,1296,1,,247,,6,63,,,979,lowercase,['timezone']
